timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776369161.741,161.741,0.26,151.21,0.25,99.52,0.27,10.29,0.28,20.0,0.73,14.0,0.72,20.0,0.74,137.21,0.75,99.52,0.01,0.01,2356.752018,1776369160000
1776369162.205,162.205,0.26,194.21,0.25,99.52,0.27,23.49,0.28,20.0,0.73,10.29,0.72,20.0,0.74,151.21,0.75,99.52,0.01,0.01,2356.743933,1776369161000
1776369172.115,172.115,0.27,148.0,0.26,186.39,0.28,62.63,0.29,115.71,0.73,17.49,0.72,20.0,0.74,224.21,0.75,107.2,0.01,0.01,2356.87594,1776369170000
1776369172.654,172.654,0.27,77.0,0.26,180.63,0.28,7.13,0.29,115.71,0.72,38.5,0.71,115.71,0.73,143.0,0.74,186.39,0.01,0.01,2356.839683,1776369171000
1776369172.998,172.998,0.27,50.0,0.26,147.15,0.28,1.13,0.29,85.71,0.72,7.13,0.71,115.71,0.73,77.0,0.74,180.63,0.01,0.01,2356.858771,1776369172000
1776369173.386,173.386,0.27,31.0,0.26,104.43,0.29,74.66,0.3,175.5,0.72,1.13,0.71,85.71,0.73,50.0,0.74,147.15,0.02,0.01,2356.858771,1776369172000
1776369180.763,180.763,0.27,45.0,0.26,105.73,0.28,68.5,0.29,109.66,0.71,74.66,0.7,175.5,0.73,56.0,0.74,104.43,0.01,0.02,2356.851597,1776369179000
1776369181.179,181.179,0.27,26.57,0.26,105.73,0.28,58.5,0.29,109.66,0.72,58.5,0.71,109.66,0.73,47.63,0.74,105.73,0.01,0.01,2356.851597,1776369179000
1776369181.823,181.823,0.27,36.57,0.26,105.73,0.28,38.78,0.29,109.66,0.72,54.78,0.71,109.66,0.73,26.57,0.74,105.73,0.01,0.01,2356.856952,1776369180000
1776369184.702,184.702,0.26,124.73,0.25,125.0,0.28,47.28,0.29,134.66,0.72,20.28,0.71,109.66,0.73,36.57,0.74,105.73,0.02,0.01,2356.912175,1776369183000
1776369184.998,184.998,0.26,1.01,0.25,100.0,0.28,108.28,0.29,134.66,0.72,82.28,0.71,134.66,0.74,91.83,0.75,125.0,0.02,0.02,2356.912175,1776369183000
1776369186.806,186.806,0.24,10.0,0.23,150.0,0.25,121.0,0.26,74.47,0.72,108.28,0.71,134.66,0.74,0.91,0.75,100.0,0.01,0.02,2356.840854,1776369185000
1776369187.221,187.221,0.23,42.84,0.22,185.0,0.24,233.99,0.25,115.47,0.75,121.0,0.74,74.47,0.76,10.0,0.77,150.0,0.01,0.01,2356.47127,1776369186000
1776369188.377,188.377,0.22,26.48,0.21,206.52,0.23,80.0,0.24,159.52,0.76,148.0,0.75,195.99,0.78,185.0,0.79,206.52,0.01,0.02,2356.435433,1776369187000
1776369188.975,188.975,0.22,36.91,0.21,125.0,0.23,37.0,0.24,177.99,0.77,80.0,0.76,159.52,0.78,26.48,0.79,206.52,0.01,0.01,2356.435433,1776369187000
1776369189.484,189.484,0.22,8.73,0.21,75.0,0.23,53.0,0.24,86.0,0.77,30.0,0.76,177.99,0.78,36.91,0.79,125.0,0.01,0.01,2356.262622,1776369188000
1776369189.832,189.832,0.22,26.73,0.21,75.0,0.23,12.3,0.24,39.0,0.77,53.0,0.76,86.0,0.78,8.73,0.79,75.0,0.01,0.01,2356.262622,1776369188000
1776369190.172,190.172,0.22,20.72,0.21,75.0,0.23,10.0,0.24,51.0,0.77,12.3,0.76,51.0,0.78,14.15,0.79,75.0,0.01,0.01,2356.262622,1776369188000
1776369191.021,191.021,0.22,140.45,0.21,75.0,0.24,4.9,0.25,30.0,0.76,8.5,0.75,35.0,0.78,20.72,0.79,75.0,0.02,0.02,2356.186302,1776369189000
1776369191.276,191.276,0.22,181.49,0.21,135.0,0.26,42.53,0.27,30.0,0.74,44.07,0.73,30.0,0.78,190.49,0.79,135.0,0.04,0.04,2356.323666,1776369190000
1776369191.56,191.56,0.23,10.0,0.22,170.76,0.26,20.23,0.27,30.0,0.74,31.1,0.73,30.0,0.78,181.49,0.79,135.0,0.03,0.04,2356.323666,1776369190000
1776369191.951,191.951,0.23,123.96,0.22,44.0,0.29,72.76,0.3,165.0,0.71,92.76,0.7,165.0,0.77,196.0,0.78,111.0,0.06,0.06,2356.323666,1776369190000
1776369192.233,192.233,0.28,129.0,0.27,10.0,0.29,3.91,0.3,90.0,0.71,12.27,0.7,90.0,0.72,129.0,0.73,10.0,0.01,0.01,2356.323666,1776369190000
1776369192.503,192.503,0.29,153.18,0.28,131.99,0.3,31.33,0.31,158.02,0.7,31.33,0.69,148.02,0.71,159.0,0.72,10.0,0.01,0.01,2357.244103,1776369191000
1776369192.801,192.801,0.29,111.65,0.28,77.0,0.3,1.33,0.31,148.02,0.7,31.33,0.69,158.02,0.71,153.18,0.72,131.99,0.01,0.01,2357.244103,1776369191000
1776369193.185,193.185,0.3,98.27,0.29,10.0,0.31,113.31,0.32,383.26,0.69,148.02,0.68,383.26,0.7,15.27,0.71,106.57,0.01,0.01,2357.244103,1776369191000
1776369195.135,195.135,0.3,58.0,0.29,10.0,0.31,56.0,0.32,383.26,0.69,113.31,0.68,383.26,0.7,98.27,0.71,10.0,0.01,0.01,2357.264476,1776369193000
1776369195.57,195.57,0.3,58.0,0.29,10.0,0.31,60.1,0.32,388.26,0.69,56.0,0.68,383.26,0.7,58.0,0.71,10.0,0.01,0.01,2357.205396,1776369194000
1776369196.998,196.998,0.3,156.01,0.29,15.0,0.31,6.9,0.32,353.26,0.69,53.1,0.68,388.26,0.7,58.0,0.71,10.0,0.01,0.01,2357.185872,1776369195000
1776369197.312,197.312,0.31,9.85,0.3,184.01,0.32,293.26,0.33,154.91,0.68,343.26,0.67,154.91,0.7,126.01,0.71,15.0,0.01,0.02,2357.185872,1776369195000
1776369197.529,197.529,0.3,253.85,0.29,10.0,0.32,293.26,0.33,154.91,0.68,293.26,0.67,154.91,0.69,9.85,0.7,184.01,0.02,0.01,2357.208071,1776369196000
1776369197.833,197.833,0.31,183.91,0.3,54.86,0.32,143.26,0.33,154.91,0.68,293.26,0.67,154.91,0.7,253.85,0.71,10.0,0.01,0.02,2357.208071,1776369196000
1776369198.079,198.079,0.31,263.9,0.3,144.52,0.34,361.0,0.35,333.85,0.68,113.26,0.67,154.91,0.69,221.9,0.7,86.52,0.03,0.01,2357.341005,1776369197000
1776369198.39,198.39,0.33,241.0,0.32,37.14,0.35,223.85,0.36,366.0,0.66,361.0,0.65,333.85,0.69,263.9,0.7,144.52,0.02,0.03,2357.341005,1776369197000
1776369198.635,198.635,0.34,378.42,0.33,48.52,0.36,157.15,0.37,180.0,0.65,26.15,0.64,161.0,0.66,378.42,0.67,37.52,0.02,0.01,2357.341005,1776369197000
1776369199.001,199.001,0.37,87.0,0.36,263.0,0.4,108.33,0.41,250.0,0.63,180.0,0.62,195.0,0.65,34.0,0.66,378.42,0.03,0.02,2357.651179,1776369198000
1776369199.609,199.609,0.42,183.56,0.41,35.52,0.44,35.0,0.45,263.64,0.57,100.0,0.56,45.0,0.6,27.0,0.61,5.0,0.02,0.03,2357.651179,1776369198000
1776369201.001,201.001,0.44,20.0,0.43,119.0,0.45,109.64,0.46,53.75,0.56,35.0,0.55,263.64,0.58,183.56,0.59,35.52,0.01,0.02,2357.716217,1776369199000
1776369201.414,201.414,0.44,65.0,0.43,132.0,0.45,107.41,0.46,53.75,0.55,109.64,0.54,53.75,0.56,20.0,0.57,119.0,0.01,0.01,2358.18181,1776369200000
1776369201.658,201.658,0.44,57.93,0.43,107.0,0.45,118.95,0.46,103.75,0.55,121.18,0.54,103.75,0.56,45.93,0.57,107.0,0.01,0.01,2358.18181,1776369200000
1776369201.922,201.922,0.44,79.91,0.43,107.0,0.45,102.95,0.46,103.75,0.55,118.95,0.54,103.75,0.56,47.0,0.57,107.0,0.01,0.01,2358.18181,1776369200000
1776369202.542,202.542,0.45,10.0,0.44,130.0,0.47,50.0,0.48,55.0,0.54,103.75,0.53,50.0,0.56,89.0,0.57,107.0,0.02,0.02,2358.18181,1776369200000
1776369203.364,203.364,0.47,41.65,0.46,31.52,0.48,5.0,0.5,91.52,0.53,50.0,0.52,55.0,0.55,8.25,0.56,130.0,0.01,0.02,2358.076447,1776369202000
1776369203.746,203.746,0.49,20.0,0.48,21.52,0.5,31.32,0.51,176.12,0.52,19.2,0.5,36.32,0.53,10.0,0.54,31.52,0.01,0.01,2358.076447,1776369202000
1776369203.978,203.978,0.49,13.23,0.48,21.52,0.5,31.32,0.51,166.12,0.5,31.32,0.49,176.12,0.51,20.0,0.52,21.52,0.01,0.01,2358.076447,1776369202000
1776369204.763,204.763,0.49,155.23,0.48,42.37,0.5,2.74,0.51,166.12,0.5,31.32,0.49,166.12,0.51,13.23,0.52,21.52,0.01,0.01,2358.047508,1776369203000
1776369204.971,204.971,0.5,70.73,0.49,47.52,0.51,161.12,0.52,25.0,0.49,166.12,0.48,25.0,0.51,155.23,0.52,42.37,0.01,0.02,2358.026757,1776369204000
1776369206.18,206.18,0.5,116.0,0.49,21.52,0.56,50.0,0.61,50.0,0.49,161.12,0.48,25.0,0.5,70.73,0.51,47.52,0.06,0.01,2357.921701,1776369205000
1776369206.426,206.426,0.55,9.09,0.5,116.0,0.58,54.25,0.59,70.0,0.42,54.35,0.41,70.0,0.45,9.09,0.5,116.0,0.03,0.03,2357.921701,1776369205000
1776369207.045,207.045,0.56,15.0,0.55,46.0,0.58,53.25,0.59,70.0,0.42,54.25,0.41,70.0,0.45,9.09,0.5,116.0,0.02,0.03,2357.921701,1776369205000
1776369207.597,207.597,0.57,132.14,0.56,25.0,0.59,70.0,0.6,45.13,0.42,51.95,0.41,70.0,0.44,15.0,0.45,72.0,0.02,0.02,2358.015074,1776369206000
1776369209.589,209.589,0.58,102.14,0.57,10.0,0.59,54.22,0.6,45.13,0.41,70.0,0.4,45.13,0.43,132.14,0.44,25.0,0.01,0.02,2358.353701,1776369208000
1776369210.101,210.101,0.58,44.44,0.57,10.0,0.59,33.52,0.6,45.13,0.41,33.52,0.4,45.13,0.42,102.14,0.43,10.0,0.01,0.01,2358.353701,1776369208000
1776369210.368,210.368,0.58,34.94,0.57,10.0,0.59,11.88,0.6,45.13,0.41,33.52,0.4,45.13,0.42,34.94,0.43,10.0,0.01,0.01,2358.344829,1776369209000
1776369210.641,210.641,0.59,9.75,0.58,22.45,0.6,45.13,0.61,120.0,0.41,11.88,0.4,45.13,0.42,22.45,0.43,10.0,0.01,0.01,2358.344829,1776369209000
1776369211.039,211.039,0.58,22.45,0.57,26.52,0.6,90.13,0.61,200.0,0.4,45.13,0.39,120.0,0.41,9.75,0.42,22.45,0.02,0.01,2358.344829,1776369209000
1776369211.415,211.415,0.59,4.0,0.58,22.45,0.6,59.13,0.61,190.0,0.4,90.13,0.39,200.0,0.42,22.45,0.43,26.52,0.01,0.02,2358.361365,1776369210000
1776369211.762,211.762,0.59,21.45,0.58,10.0,0.6,56.79,0.61,200.0,0.4,41.79,0.39,190.0,0.41,18.0,0.42,22.45,0.01,0.01,2358.361365,1776369210000
1776369213.463,213.463,0.57,11.52,0.55,6.0,0.6,41.79,0.61,190.0,0.4,61.79,0.39,200.0,0.41,16.45,0.42,10.0,0.03,0.01,2358.318291,1776369212000
1776369214.257,214.257,0.55,24.0,0.54,10.0,0.56,86.48,0.57,15.0,0.41,5.0,0.4,41.79,0.53,26.9,0.54,150.0,0.01,0.12,2358.318291,1776369212000
1776369214.713,214.713,0.55,10.0,0.54,24.0,0.56,46.19,0.57,90.0,0.44,86.48,0.43,15.0,0.45,24.0,0.46,10.0,0.01,0.01,2358.289656,1776369213000
1776369215.554,215.554,0.56,24.0,0.55,37.77,0.57,29.43,0.58,5.0,0.43,32.43,0.42,25.0,0.45,32.77,0.46,10.0,0.01,0.02,2358.289531,1776369214000
1776369215.846,215.846,0.56,62.2,0.55,32.77,0.57,29.43,0.6,81.79,0.43,29.43,0.42,5.0,0.44,24.0,0.45,37.77,0.01,0.01,2358.289531,1776369214000
1776369217.035,217.035,0.51,10.0,0.5,10.0,0.56,5.4,0.57,15.0,0.4,81.79,0.39,190.0,0.44,62.2,0.45,32.77,0.05,0.04,2358.230442,1776369215000
1776369217.251,217.251,0.52,35.0,0.51,10.0,0.53,0.91,0.54,15.0,0.42,10.4,0.41,26.0,0.49,10.0,0.5,10.0,0.01,0.07,2358.230442,1776369215000
1776369218.719,218.719,0.53,10.0,0.52,18.0,0.54,4.9,0.56,55.0,0.47,1.47,0.46,90.0,0.48,54.0,0.49,10.0,0.01,0.01,2358.31883,1776369217000
1776369219.445,219.445,0.54,20.1,0.53,48.0,0.56,55.0,0.59,75.0,0.46,4.9,0.44,55.0,0.47,10.0,0.48,18.0,0.02,0.01,2358.276364,1776369218000
