timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776391406.191,206.191,0.54,1.0,0.53,5.0,0.56,5.0,0.57,5.0,0.42,5.0,0.41,5.0,0.44,2.0,0.45,5.0,0.02,0.02,631.41397,1776391404000
1776391406.747,206.747,0.5,1.0,0.49,5.0,0.53,5.0,0.54,5.0,0.46,5.0,0.45,5.0,0.48,0.35,0.49,5.0,0.03,0.02,631.3748,1776391405000
1776391410.392,210.392,0.38,5.0,0.37,5.0,0.41,4.09,0.42,5.0,0.47,5.0,0.46,5.0,0.5,1.0,0.51,5.0,0.03,0.03,631.288532,1776391409000
1776391413.184,213.184,0.38,3.38,0.37,5.0,0.4,5.0,0.41,4.09,0.59,4.09,0.58,5.0,0.62,5.0,0.63,5.0,0.02,0.03,631.269238,1776391411000
1776391422.619,222.619,0.45,5.0,0.44,5.0,0.46,2.0,0.47,5.0,0.6,5.0,0.59,4.09,0.62,3.38,0.63,5.0,0.01,0.02,631.272,1776391421000
1776391423.286,223.286,0.47,2.64,0.46,5.0,0.48,5.0,0.49,5.0,0.54,2.0,0.53,5.0,0.55,5.0,0.56,5.0,0.01,0.01,631.272,1776391422000
1776391426.53,226.53,0.46,5.0,0.45,5.0,0.47,0.74,0.48,5.0,0.52,5.0,0.51,5.0,0.53,2.64,0.54,5.0,0.01,0.01,631.364761,1776391425000
1776391429.486,229.486,0.48,5.0,0.47,5.0,0.5,5.0,0.51,5.0,0.53,0.74,0.52,5.0,0.54,5.0,0.55,5.0,0.02,0.01,631.420192,1776391428000
1776391435.52,235.52,0.51,60.0,0.5,15.4,0.53,1.0,0.54,5.0,0.5,5.0,0.49,5.0,0.52,5.0,0.53,5.0,0.02,0.02,631.422097,1776391434000
1776391436.891,236.891,0.52,20.4,0.51,65.4,0.54,3.79,0.55,5.0,0.47,1.0,0.46,5.0,0.49,60.0,0.5,15.4,0.02,0.02,631.423056,1776391435000
1776391449.88,249.88,0.71,45.0,0.69,10.0,0.72,5.0,0.73,5.0,0.46,3.79,0.45,5.0,0.48,20.4,0.49,65.4,0.01,0.02,631.515654,1776391448000
1776391450.288,250.288,0.71,50.0,0.69,5.0,0.72,2.22,0.73,5.0,0.28,5.0,0.27,5.0,0.29,45.0,0.31,10.0,0.01,0.01,631.540921,1776391449000
1776391450.593,250.593,0.71,50.0,0.69,5.0,0.73,2.18,0.74,5.0,0.28,2.22,0.27,5.0,0.29,50.0,0.31,5.0,0.02,0.01,631.540921,1776391449000
1776391452.773,252.773,0.74,10.0,0.73,5.0,0.78,1.98,0.79,5.0,0.27,2.18,0.26,5.0,0.29,50.0,0.31,5.0,0.04,0.02,631.567142,1776391451000
1776391453.127,253.127,0.79,5.0,0.78,5.0,0.81,2.0,0.82,5.0,0.19,5.0,0.18,5.0,0.25,5.0,0.26,10.0,0.02,0.06,631.567142,1776391451000
1776391454.532,254.532,0.81,5.0,0.8,5.0,0.82,2.46,0.83,5.0,0.19,2.0,0.18,5.0,0.21,5.0,0.22,5.0,0.01,0.02,631.572728,1776391453000
